gbr,chn,rus,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
226,338,613,205,177,358,409,100,308,163,127,437,726,280,123,71,302,382
214,391,333,199,338,335,197,256,182,112,85,339,745,65,199,67,178,222
180,170,357,332,262,146,199,140,164,84,70,148,723,120,71,78,118,175
271,345,611,230,465,171,151,215,150,213,115,333,744,142,80,118,203,407
354,250,256,180,324,330,207,238,144,110,213,289,847,179,144,170,281,592
532,440,434,143,240,187,136,184,167,87,98,340,630,102,99,167,220,693
237,468,368,116,258,190,92,165,76,66,51,259,754,75,85,75,157,242
308,513,396,197,180,293,173,196,222,95,146,233,846,192,128,138,172,312
301,313,329,138,159,176,130,186,245,132,114,485,783,89,79,67,149,137
258,583,330,189,108,151,196,159,132,61,74,318,837,249,102,114,192,199
222,222,222,112,222,159,182,150,81,69,51,362,901,227,143,56,181,246
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1184,921,426,365,929,303,200,325,296,154,446,4027,321,357,190,400,551
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,1666,1649,951,740,1840,715,922,795,418,798,977,2807,521,735,921,397,454
